,Animal ID,Name,DateTime,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Month,Year
16925,A735129,Spade,2016-10-15 16:37:00,2012-09-19,Adoption,Foster,Dog,Spayed Female,4 years,Pit Bull Mix,Black,Oct,2016
37,A757919,Tofu,2017-10-05 15:36:00,2015-09-08,Adoption,Foster,Dog,Spayed Female,2 years,Beagle Mix,Brown/White,Oct,2017
1921,A768978,Bubba,2018-04-02 18:54:00,2017-10-28,Adoption,Foster,Dog,Neutered Male,5 months,Great Pyrenees Mix,White/Red,Apr,2018
79104,A814862,Rocky,2020-10-01 07:47:00,2017-03-07,Adoption,Foster,Dog,Neutered Male,3 years,Pit Bull,Black/White,Oct,2020
38209,A850178,Ceaser,2022-01-31 16:37:00,2015-01-19,Adoption,Foster,Dog,Neutered Male,7 years,Siberian Husky Mix,Brown/White,Jan,2022
32045,A798240,Ricky,2019-09-06 10:09:00,2016-06-23,Adoption,Foster,Dog,Neutered Male,3 years,German Shepherd,Black/Brown,Sep,2019
91217,A693174,Sally,2014-12-13 17:28:00,2014-09-18,Adoption,Foster,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie/White,Dec,2014
115581,A693195,Leia,2014-12-07 13:08:00,2009-12-03,Adoption,Foster,Dog,Intact Female,5 years,Miniature Poodle Mix,White,Dec,2014
2691,A840262,A840262,2021-08-28 09:09:00,2021-06-19,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby/White,Aug,2021
68338,A789447,Unknown,2019-02-25 17:18:00,2018-02-21,Adoption,Foster,Dog,Spayed Female,1 year,Chihuahua Shorthair/Rat Terrier,Tan/White,Feb,2019
87253,A746218,Rocky,2017-04-03 18:23:00,2017-01-15,Adoption,Foster,Dog,Neutered Male,2 months,Redbone Hound Mix,Red/Black,Apr,2017
140725,A824237,Ringo,2020-12-26 13:40:00,2020-09-09,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby,Dec,2020
30100,A720443,Sleepy,2016-02-12 16:45:00,2015-12-09,Adoption,Foster,Dog,Neutered Male,2 months,Pointer Mix,Black/White,Feb,2016
84516,A671586,Chico,2014-01-29 16:55:00,2013-10-29,Adoption,Foster,Dog,Neutered Male,3 months,Dachshund,Brown,Jan,2014
109162,A858019,JackJack,2022-06-09 15:23:00,2022-04-04,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Cream Tabby/White,Jun,2022
74536,A669127,Chewy,2013-12-24 17:03:00,2011-12-15,Adoption,Foster,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan,Dec,2013
104387,A779669,Unknown,2018-09-22 19:13:00,2017-09-04,Adoption,Foster,Bird,Intact Male,1 year,Chicken,Red/White,Sep,2018
31790,A750582,Daisey,2017-07-03 18:12:00,2016-05-29,Adoption,Foster,Dog,Spayed Female,1 year,Dalmatian Mix,White/Black,Jul,2017
99092,A686960,Tonka,2016-10-22 17:38:00,2013-03-03,Adoption,Foster,Dog,Neutered Male,3 years,Mastiff Mix,Tan/Black,Oct,2016
25423,A817330,Stripes,2020-07-24 08:53:00,2020-05-01,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico/White,Jul,2020
29496,A701758,Zeus,2015-05-31 18:53:00,2013-05-04,Adoption,Foster,Dog,Neutered Male,2 years,Catahoula/American Bulldog,White/Brown,May,2015
46659,A725520,Paulie,2016-05-07 16:48:00,2015-04-30,Adoption,Foster,Dog,Neutered Male,1 year,Dachshund/Chihuahua Shorthair,Tan,May,2016
37104,A834346,Enzo,2021-06-25 18:02:00,2021-04-07,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Longhair,Black,Jun,2021
53831,A830181,Nona,2021-03-09 12:12:00,2017-03-03,Adoption,Foster,Cat,Spayed Female,4 years,Domestic Shorthair Mix,White/Black,Mar,2021
139670,A668093,Amber,2014-01-05 15:07:00,2013-04-12,Adoption,Foster,Dog,Spayed Female,8 months,Labrador Retriever Mix,Brown,Jan,2014
51984,A795433,Socks,2019-08-19 16:02:00,2019-05-10,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White,Aug,2019
17405,A695310,Elijah,2015-01-17 13:44:00,2003-01-13,Adoption,Foster,Dog,Neutered Male,12 years,Miniature Schnauzer Mix,Gray,Jan,2015
52746,A800735,Philippa,2019-08-17 11:29:00,2019-05-28,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black,Aug,2019
130070,A723032,Isa,2016-03-28 18:52:00,2014-09-25,Adoption,Foster,Dog,Spayed Female,1 year,Great Pyrenees Mix,White,Mar,2016
153579,A871678,Buttercup,2023-08-20 13:22:00,2020-12-28,Adoption,Foster,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black,Aug,2023
106510,A726863,Tigger,2016-06-23 15:24:00,2016-03-31,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,Jun,2016
77599,A778802,Clyde,2018-08-26 16:01:00,2017-08-20,Adoption,Foster,Dog,Neutered Male,1 year,Boxer Mix,Brown Brindle,Aug,2018
124491,A735552,Lexi,2016-09-29 17:36:00,2016-03-25,Adoption,Foster,Dog,Spayed Female,6 months,Cairn Terrier Mix,Tan/White,Sep,2016
70200,A679928,Austin,2014-07-17 17:22:00,2014-04-11,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,Jul,2014
22693,A727222,Cindy,2017-08-18 16:44:00,2014-05-20,Adoption,Foster,Dog,Spayed Female,3 years,Jack Russell Terrier,White/Brown,Aug,2017
154909,A807307,Benjamin,2019-11-01 18:32:00,2017-10-23,Adoption,Foster,Dog,Neutered Male,2 years,Chihuahua Shorthair,White,Nov,2019
35298,A736401,Unknown,2016-10-14 17:39:00,2016-08-17,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby/White,Oct,2016
110395,A688524,Ginny,2018-05-19 13:27:00,2013-09-20,Adoption,Foster,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black,May,2018
155079,A885851,Unknown,2023-08-07 19:05:00,2023-04-11,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair,Brown Tabby,Aug,2023
117133,A781122,Sky,2018-09-29 18:18:00,2017-09-24,Adoption,Foster,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Red/White,Sep,2018
139759,A716222,Beau,2015-12-14 15:54:00,2015-08-16,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Black,Dec,2015
96366,A837008,Khloe,2021-07-02 17:24:00,2021-05-02,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Medium Hair,Black/White,Jul,2021
14670,A747331,Unknown,2017-06-14 09:15:00,2017-03-25,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,Jun,2017
60225,A803603,Unknown,2019-11-30 16:58:00,2019-07-22,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Brown Tabby/White,Nov,2019
139459,A661628,Ginger,2015-07-08 08:15:00,2011-08-22,Adoption,Foster,Dog,Spayed Female,3 years,Miniature Poodle/Yorkshire Terrier,Brown,Jul,2015
78496,A727060,Charity,2016-07-02 18:23:00,2016-04-10,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,Jul,2016
47464,A786326,Lance,2021-07-09 13:36:00,2016-12-22,Adoption,Foster,Dog,Neutered Male,4 years,German Shorthair Pointer Mix,Brown/White,Jul,2021
44198,A837338,Polo,2021-06-30 16:22:00,2020-09-21,Adoption,Foster,Dog,Neutered Male,9 months,German Shepherd Mix,Black/White,Jun,2021
38384,A768277,Allie,2018-03-23 16:27:00,2016-03-16,Adoption,Foster,Dog,Spayed Female,2 years,German Shepherd Mix,Brown,Mar,2018
124116,A774177,Unknown,2018-06-16 14:58:00,2018-04-11,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Jun,2018
49894,A761823,Turkey,2017-12-29 07:55:00,2017-10-29,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Blue Tabby,Dec,2017
149282,A845385,Kritika,2021-11-13 17:32:00,2021-08-29,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White,Nov,2021
129613,A775242,Turner,2018-09-03 16:27:00,2018-06-03,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,Sep,2018
145338,A854297,Orzo,2022-05-03 15:32:00,2022-03-01,Adoption,Foster,Dog,Neutered Male,2 months,Pit Bull Mix,White,May,2022
83906,A790197,Wednesday,2019-04-10 14:04:00,2018-11-06,Adoption,Foster,Dog,Intact Female,5 months,Pointer Mix,White/Brown,Apr,2019
1225,A806767,Marmalade,2019-11-16 17:41:00,2018-10-15,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby,Nov,2019
112913,A689667,Eloise,2014-12-22 16:03:00,2014-09-20,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,Dec,2014
15087,A731882,Quinn,2016-08-04 18:13:00,2016-05-28,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Aug,2016
110360,A583005,Butters,2017-01-02 15:01:00,2007-09-01,Adoption,Foster,Dog,Neutered Male,9 years,Miniature Poodle Mix,White,Jan,2017
148101,A856704,King,2022-05-19 18:18:00,2020-11-06,Adoption,Foster,Dog,Neutered Male,1 year,Jack Russell Terrier,White,May,2022
142371,A790139,Peep,2019-04-17 15:47:00,2019-02-13,Adoption,Foster,Dog,Neutered Male,2 months,German Shepherd/Great Pyrenees,Black,Apr,2019
70086,A821191,Cody,2021-01-08 17:43:00,2020-03-06,Adoption,Foster,Dog,Neutered Male,10 months,American Foxhound Mix,White/Brown,Jan,2021
62754,A665283,Rosie,2013-10-26 14:19:00,2013-07-31,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,Oct,2013
155078,A883524,North,2023-08-07 18:15:00,2023-05-27,Adoption,Foster,Dog,Intact Male,2 months,Siberian Husky,Red/White,Aug,2023
71611,A828075,Odessa,2021-05-08 13:07:00,2020-01-06,Adoption,Foster,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black,May,2021
70293,A852776,Hulk,2022-03-31 13:34:00,2021-06-07,Adoption,Foster,Dog,Neutered Male,9 months,Pit Bull Mix,White/Black,Mar,2022
105077,A740038,Pearl,2016-12-16 14:38:00,2016-10-10,Adoption,Foster,Dog,Spayed Female,2 months,Dachshund Wirehair Mix,Black,Dec,2016
143276,A805538,Brooklyn,2020-05-30 13:00:00,2017-09-28,Adoption,Foster,Dog,Spayed Female,2 years,Treeing Cur Mix,Tan,May,2020
95983,A833440,Aspen,2021-06-30 14:54:00,2021-04-22,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,White/Blue Tabby,Jun,2021
17868,A828701,Thanos,2021-02-13 13:38:00,2020-12-18,Adoption,Foster,Dog,Neutered Male,1 month,Labrador Retriever/Pit Bull,Brown/White,Feb,2021
97244,A805063,Rameses,2019-09-25 16:41:00,2019-01-21,Adoption,Foster,Dog,Neutered Male,8 months,Cairn Terrier,White/Tan,Sep,2019
115339,A835725,Sugar,2021-06-11 15:20:00,2021-03-01,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Calico,Jun,2021
110007,A694429,Lilly,2015-04-27 19:20:00,2012-12-28,Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White,Apr,2015
46095,A667626,Leia,2014-02-01 17:33:00,2013-10-05,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Cream Tabby/White,Feb,2014
19269,A875944,Bowie,2023-03-12 16:48:00,2022-01-07,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Longhair,Black,Mar,2023
23514,A868307,Zest,2022-11-14 16:07:00,2022-09-12,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,Nov,2022
146977,A877827,Blaze,2023-04-07 17:40:00,2022-12-03,Adoption,Foster,Dog,Neutered Male,4 months,English Setter,Black/White,Apr,2023
97951,A742279,Jasper,2017-05-11 12:48:00,2013-01-18,Adoption,Foster,Dog,Neutered Male,4 years,Staffordshire/Labrador Retriever,Black/White,May,2017
107960,A757783,Chacho,2017-09-07 15:16:00,2012-03-06,Adoption,Foster,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White,Sep,2017
88479,A722861,Rufus,2016-03-28 13:35:00,2015-12-23,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,White/Brown,Mar,2016
81674,A718967,Vicki,2016-01-23 13:53:00,2012-03-10,Adoption,Foster,Dog,Spayed Female,3 years,Basset Hound Mix,Black/Tan,Jan,2016
144214,A858242,TexasRanger,2022-06-01 17:27:00,2022-02-11,Adoption,Foster,Dog,Neutered Male,3 months,Rhod Ridgeback Mix,Red/White,Jun,2022
135129,A750341,Unknown,2017-05-30 22:50:00,2017-03-26,Adoption,Foster,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/Black,May,2017
9174,A795066,Unknown,2019-08-03 16:39:00,2019-04-15,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White,Aug,2019
46608,A788194,Olive,2019-05-15 12:08:00,2018-10-04,Adoption,Foster,Dog,Spayed Female,7 months,Labrador Retriever Mix,Black/White,May,2019
49835,A698970,Sawyer,2015-03-29 17:16:00,2013-11-20,Adoption,Foster,Dog,Spayed Female,1 year,Labrador Retriever/Australian Cattle Dog,Black/Brown,Mar,2015
138276,A675591,Unknown,2014-04-03 17:43:00,2013-05-29,Adoption,Foster,Dog,Neutered Male,10 months,Welsh Terrier Mix,Black/Brown,Apr,2014
146269,A879580,Felix,2023-04-30 13:53:00,2012-05-28,Adoption,Foster,Dog,Neutered Male,10 years,Standard Schnauzer Mix,Black/Gray,Apr,2023
149608,A849693,Sracha,2022-01-20 10:14:00,2021-09-12,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair,Orange Tabby,Jan,2022
44851,A776471,Bella,2019-01-26 11:15:00,2013-07-14,Adoption,Foster,Dog,Spayed Female,5 years,Pit Bull Mix,Blue,Jan,2019
20188,A762461,Furiosa,2018-02-10 16:27:00,2015-11-20,Adoption,Foster,Dog,Spayed Female,2 years,Great Dane Mix,Tan/Black,Feb,2018
65907,A717570,Django,2015-12-15 17:25:00,2015-09-30,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby/White,Dec,2015
57123,A843463,Zephyr,2021-10-09 20:44:00,2021-08-13,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair,Orange Tabby,Oct,2021
113631,A794892,Milli,2019-05-22 12:44:00,2018-09-13,Adoption,Foster,Dog,Spayed Female,8 months,Jack Russell Terrier Mix,Black,May,2019
116881,A714577,Dalinda,2015-12-16 18:13:00,2015-10-10,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,Dec,2015
140717,A782389,Happy,2019-01-21 12:44:00,2016-10-14,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown,Jan,2019
56291,A687266,Coco,2014-09-27 14:51:00,2013-09-02,Adoption,Foster,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White,Sep,2014
151016,A846908,A846908,2021-11-29 17:42:00,2021-10-01,Adoption,Foster,Dog,Neutered Male,1 month,Pit Bull,Blue/White,Nov,2021
139249,A769204,Unknown,2019-03-26 10:32:00,2017-10-01,Adoption,Foster,Livestock,Intact Male,1 year,Sheep Mix,Black/White,Mar,2019
121173,A686821,Storm,2014-08-31 17:35:00,2014-04-27,Adoption,Foster,Dog,Spayed Female,4 months,Beagle/Rat Terrier,Tricolor,Aug,2014
67162,A779483,Unknown,2018-09-05 17:38:00,2018-06-01,Adoption,Foster,Dog,Spayed Female,3 months,Catahoula Mix,Black/White,Sep,2018
131181,A804814,Kiki,2019-10-02 18:00:00,2018-09-19,Adoption,Foster,Dog,Spayed Female,1 year,Pit Bull,Gray/White,Oct,2019
79810,A697185,Ronin,2015-04-05 15:22:00,2014-02-19,Adoption,Foster,Dog,Neutered Male,1 year,Labrador Retriever Mix,Red/White,Apr,2015
136905,A672093,Boss,2016-09-26 14:42:00,2013-09-04,Adoption,Foster,Dog,Neutered Male,3 years,Pit Bull Mix,Tan,Sep,2016
7737,A790456,Arya,2019-03-14 16:18:00,2018-10-10,Adoption,Foster,Dog,Spayed Female,5 months,German Shepherd Mix,Black/White,Mar,2019
74788,A757225,Churro,2017-09-04 11:54:00,2013-02-13,Adoption,Foster,Dog,Neutered Male,4 years,Toy Fox Terrier Mix,Tan/White,Sep,2017
62132,A680053,Ginger,2014-06-09 13:29:00,2006-05-29,Adoption,Foster,Dog,Spayed Female,8 years,Cocker Spaniel Mix,White/Liver,Jun,2014
89490,A726658,Unknown,2016-06-04 17:52:00,2016-04-07,Adoption,Foster,Dog,Neutered Male,1 month,Queensland Heeler Mix,Red Tick,Jun,2016
152508,A886783,Unknown,2023-08-14 17:03:00,2022-08-10,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby,Aug,2023
112116,A815446,Maxwell,2020-04-04 10:41:00,2020-01-12,Adoption,Foster,Dog,Neutered Male,2 months,German Shepherd Mix,Black/White,Apr,2020
111894,A777159,Jim,2018-08-27 13:37:00,2018-03-09,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black Tabby/White,Aug,2018
42725,A698637,King,2015-04-24 18:41:00,2009-03-15,Adoption,Foster,Dog,Neutered Male,6 years,Anatol Shepherd,Tan/Black,Apr,2015
57261,A823590,Scout,2020-10-01 15:34:00,2020-06-26,Adoption,Foster,Dog,Neutered Male,3 months,Chihuahua Shorthair/Australian Cattle Dog,White/Red,Oct,2020
55867,A732665,Livy,2016-08-20 19:11:00,2016-04-18,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby,Aug,2016
133024,A872239,Unknown,2023-01-11 18:17:00,2021-01-06,Adoption,Foster,Dog,Spayed Female,2 years,Yorkshire Terrier Mix,Cream/Tan,Jan,2023
72168,A705285,Unknown,2015-06-19 17:45:00,2015-04-08,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White,Jun,2015
80083,A722403,Travis,2016-04-17 13:11:00,2014-09-16,Adoption,Foster,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Brown,Apr,2016
27629,A865076,Quiche,2022-11-05 17:09:00,2020-09-05,Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull,Blue,Nov,2022
154037,A886829,Bette,2023-08-23 16:12:00,2022-08-11,Adoption,Foster,Other,Intact Female,1 year,Rabbit Sh,White/Black,Aug,2023
113495,A727050,Cobb,2016-05-22 17:46:00,2014-05-17,Adoption,Foster,Dog,Intact Male,2 years,Border Collie Mix,Brown Brindle/White,May,2016
145936,A861421,Mocha,2022-11-17 11:04:00,2022-06-01,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black,Nov,2022
149204,A866227,Gia,2022-11-05 15:36:00,2021-11-01,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby,Nov,2022
149293,A863894,Hannah,2022-08-25 16:47:00,2022-06-17,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,Aug,2022
5801,A668202,Max,2013-12-08 13:01:00,2013-01-29,Adoption,Foster,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White,Dec,2013
132737,A812595,Gnocchi,2020-02-14 16:37:00,2019-11-25,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Blue Tabby/White,Feb,2020
151103,A847212,Lily,2022-02-02 10:47:00,2021-05-28,Adoption,Foster,Dog,Spayed Female,8 months,Australian Cattle Dog Mix,White/Tricolor,Feb,2022
139732,A727855,Ranger,2016-06-16 18:33:00,2016-04-11,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/Brown,Jun,2016
100376,A745199,Klaus,2017-04-30 19:04:00,2015-03-14,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,Apr,2017
80063,A516577,Joker,2016-02-13 18:54:00,2006-01-19,Adoption,Foster,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Black/Tricolor,Feb,2016
6491,A736393,Mia,2016-11-14 15:47:00,2014-10-10,Adoption,Foster,Dog,Spayed Female,2 years,Rhod Ridgeback Mix,Red,Nov,2016
136757,A866416,Basha,2022-10-01 17:00:00,2019-03-01,Adoption,Foster,Cat,Neutered Male,3 years,Domestic Shorthair,Blue Tabby,Oct,2022
136454,A840315,Mina,2021-09-25 13:19:00,2021-07-05,Adoption,Foster,Cat,Spayed Female,2 months,Snowshoe Mix,Tortie Point/White,Sep,2021
134577,A738319,AppleJack,2016-12-11 16:58:00,2016-03-12,Adoption,Foster,Cat,Spayed Female,9 months,Domestic Medium Hair Mix,Orange Tabby,Dec,2016
56253,A705105,Ernie,2015-07-08 18:34:00,2015-05-07,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby/White,Jul,2015
20082,A862636,Kami,2022-08-06 19:07:00,2021-09-28,Adoption,Foster,Cat,Spayed Female,10 months,Domestic Shorthair,Tortie,Aug,2022
148591,A871386,Apollo,2022-12-29 17:30:00,2022-10-23,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown,Dec,2022
124817,A803370,Sunshine,2019-09-11 18:12:00,2016-08-31,Adoption,Foster,Dog,Spayed Female,3 years,Siberian Husky,Gray/Black,Sep,2019
62650,A784091,Lily,2018-12-20 17:09:00,2018-07-11,Adoption,Foster,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black/White,Dec,2018
119744,A749458,Andy,2017-05-27 18:17:00,2017-02-15,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,May,2017
91192,A808739,Flora,2019-12-09 17:54:00,2017-11-13,Adoption,Foster,Dog,Spayed Female,2 years,Dachshund/Beagle,Tan,Dec,2019
109050,A707771,Unknown,2015-07-21 17:57:00,2013-07-17,Adoption,Foster,Dog,Spayed Female,2 years,English Bulldog Mix,White,Jul,2015
96480,A867582,Unknown,2022-10-24 18:20:00,2022-06-20,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair,Black/White,Oct,2022
6891,A718057,Pongo,2015-12-26 17:30:00,2015-10-20,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White,Dec,2015
153687,A881811,Sky,2023-08-21 12:32:00,2023-05-17,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Cream Tabby,Aug,2023
136458,A701697,Kristoff,2015-06-02 17:09:00,2015-04-05,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Blue Tabby,Jun,2015
75432,A813902,Unknown,2020-02-24 16:20:00,2017-02-20,Adoption,Foster,Cat,Neutered Male,3 years,Domestic Shorthair,White/Black,Feb,2020
82425,A825336,Unknown,2020-11-10 16:26:00,2020-08-26,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,Nov,2020
63969,A682493,Unknown,2014-07-18 11:23:00,2012-06-28,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White,Jul,2014
109371,A833525,Hermione,2021-05-12 17:22:00,2020-10-01,Adoption,Foster,Dog,Spayed Female,7 months,Nova Scotia Duck Tolling Retriever,Brown/White,May,2021
110430,A749394,Cyrus,2017-05-23 12:03:00,2017-03-14,Adoption,Foster,Dog,Intact Male,2 months,German Shepherd Mix,Black/Brown,May,2017
37849,A669953,Unknown,2014-01-03 17:52:00,2013-08-30,Adoption,Foster,Dog,Spayed Female,4 months,Pit Bull Mix,Chocolate/White,Jan,2014
51922,A720735,Rooster19,2016-03-08 18:14:00,2015-02-14,Adoption,Foster,Bird,Intact Male,1 year,Chicken Mix,Black/Cream,Mar,2016
310,A749133,Cowboy,2020-08-01 08:12:00,2017-04-05,Adoption,Foster,Cat,Spayed Female,3 years,Domestic Shorthair Mix,White/Black,Aug,2020
97687,A780947,Unknown,2018-09-26 16:53:00,2016-09-22,Adoption,Foster,Dog,Neutered Male,2 years,Wire Hair Fox Terrier Mix,Tricolor,Sep,2018
150974,A850780,CookieMonster,2022-02-08 18:02:00,2021-12-01,Adoption,Foster,Dog,Spayed Female,2 months,Pit Bull Mix,Black/White,Feb,2022
52301,A775744,Athena,2018-07-10 18:16:00,2014-07-04,Adoption,Foster,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tan,Jul,2018
43423,A795680,Drax,2020-03-31 12:23:00,2019-03-03,Adoption,Foster,Dog,Neutered Male,1 year,Boxer/Pit Bull,Tricolor,Mar,2020
101933,A754931,Unknown,2017-07-30 22:44:00,2017-05-26,Adoption,Foster,Dog,Spayed Female,2 months,Australian Shepherd Mix,Fawn/White,Jul,2017
74562,A676830,Champ,2015-10-08 08:50:00,2014-01-15,Adoption,Foster,Dog,Neutered Male,1 year,Finnish Spitz Mix,Tan,Oct,2015
26548,A707745,Lola,2015-07-19 17:11:00,2015-05-17,Adoption,Foster,Dog,Intact Female,2 months,Labrador Retriever,White,Jul,2015
32728,A693210,Unknown,2014-12-08 12:49:00,2011-12-04,Adoption,Foster,Dog,Neutered Male,3 years,Shiba Inu Mix,Tan,Dec,2014
19462,A768562,Nora,2018-04-13 12:21:00,2017-10-21,Adoption,Foster,Dog,Spayed Female,5 months,Australian Kelpie Mix,Chocolate/White,Apr,2018
